ID_time,1650_59,1660_69
1,4316.55,0
2,1038.16,0
3,1175.47,0
4,1354.4,535.48
5,3210.46,1390.58
6,1307.63,2197.8
7,1337.67,1660.63
8,484.21,741.75
9,6578.95,612.91
10,952.38,1410.27
11,3107.88,1030.85
12,2110.88,351.56
13,1719.5,110.88
14,1474.42,1151.11
15,5535.06,640.15
16,5523.07,0
17,4825.74,803.07
18,3794.6,0
19,896.12,1600.28
20,973.46,1848
21,0,2082.61
22,916.59,2835.54
23,4109.59,1307.19
24,674.99,0
25,970.96,2063.24
26,1285.98,629.24
27,1241.33,2139.29
28,1202.24,484.97
29,1814.22,164.5
30,1403.04,972.45
31,0,968.68
32,621.29,221.04
33,912.05,1390.39
34,620.67,0
35,823.72,0
36,1080.41,98.57
37,2265.49,1539.28
38,1036.07,1749.15
39,605.18,1979.47
40,856.49,2160.29
41,758.66,0
42,838.19,0
43,1552.01,1726.22
44,403.12,899.28
45,1204.4,0
46,1270.78,0
47,1619.11,1479.29
48,520.02,2259.97
49,1372.38,3236.16
50,0,2031.96
51,1367.43,1094.09
52,716.16,4175.37
53,414.06,4383.56
54,1129.06,2793.3
55,814.29,1823.3
56,2289.64,0
57,1682.09,0
58,2531.65,1623.73
59,628.93,693.72
60,0,1338.69
61,1001,4250.8
62,1201.92,2976.19
63,973.71,1307.24
64,0,0
65,1864.28,0
66,5676.44,0
67,703.07,1100.38
68,1095.29,309.98
69,1733.53,1327.14
70,3153.52,2951.3
71,0,2436.32
72,2302.4,1290.32
73,425.08,2714.93
74,300.09,1856.34
75,766.02,3933.14
76,916.66,2144.18
77,456.54,2073.18
78,3389.54,907.94
79,1584.79,448.21
80,895.47,1166.51
81,1195.12,0
82,1206.92,616.78
83,818.5,1085.3
84,819.75,1694.92
85,366.61,1557.9
86,388.65,0
87,1398.44,1423.67
88,552.41,1168.74
89,1209.34,1092.37
90,772.24,1455.74
91,1159.43,1390.34
92,471.79,2416.63
93,1117.25,0
94,1104.78,2710.03
95,776.56,3613.99
96,0,1495.94
97,2352.98,1366.47
98,1068.47,1651.29
99,674.72,144.72
100,2286.59,2549.72
101,715.89,354.23
102,1861.57,1446.01
103,1229.56,700.03
104,1846.72,2525.78
105,479.23,1149.43
106,569.81,2691.07
107,1534.92,1101.32
108,255.9,1519.76
109,1998.67,1151.24
110,1905.99,0
111,2455.91,1634.12
112,725.16,1796.1
113,2286.59,1401.21
114,825.23,920.57
115,2105.26,383.55
116,567.08,1957.05
117,988.13,1136.82
118,619,2766.65
119,522.06,801
120,613.69,805.67
121,1899.8,1438.64
122,789.98,1049.82
123,1939.92,814.57
124,2056.79,740.19
125,1711.03,626.35
126,1118.21,726.99
127,1627.97,1223.49
128,2331.16,664.67
129,1190.67,882.43
130,1273.23,0
131,2728.2,2674.39
132,2459.72,425.84
133,1108.27,418.68
134,929.71,1641.09
135,1177.45,1064.86
136,1068.88,1001.8
137,381.58,1553.3
138,1191.01,801.77
